"PNM Name","ID","Class","R1S1","R1S2","R1S3","R1S4","R1S5","R1S6","R1S7","R1S8","R1S9","R1S10","R1S11","R1S12","Round 1 Average","R2S1","R2S2","R2S3","R2S4","R2S5","R2S6","R2S7","R2S8","R2S9","R2S10","R2S11","R2S12","Round 2 Average","R3S1","R3S2","R3S3","R3S4","R3S5","R3S6","R3S7","R3S8","R3S9","R3S10","R3S11","R3S12","Round 3 Average","R4S1","R4S2","R4S3","R4S4","R4S5","R4S6","R4S7","R4S8","R4S9","R4S10","R4S11","R4S12","Round 4 Average"
"Jackson, Nicole",8723,"FR",2,4,2,2,4,2,4,2,4,2,4,4,"",4,2,2,2,4,4,2,4,4,2,2,4,"",2,4,2,4,4,4,4,4,2,2,2,4,"",2,4,2,4,2,2,4,2,2,4,4,4,""
"Martin, Heather",3586,"SM",2,2,2,4,2,4,2,4,2,4,2,2,"",4,2,4,4,2,2,2,4,2,4,4,2,"",2,2,4,4,4,4,4,2,2,4,2,4,"",4,2,2,4,4,4,2,4,4,2,2,2,""
"Moore, Tiffany",7154,"FR",2,2,4,4,2,2,4,2,2,2,4,2,"",2,4,4,2,2,2,4,2,4,4,2,4,"",4,2,4,4,2,4,2,2,4,2,2,4,"",2,4,4,2,2,4,2,2,4,4,4,2,""
"Hernandez, Crystal",1982,"SM",4,2,4,2,4,4,2,4,2,4,2,2,"",2,4,2,4,4,4,2,2,2,4,4,2,"",2,4,2,2,4,4,2,2,4,2,4,4,"",4,2,4,4,2,2,2,4,4,2,2,4,""
"Thomas, Angela",5341,"FR",2,4,4,4,4,2,2,2,4,4,2,4,"",4,4,4,4,4,4,2,4,2,4,2,2,"",2,4,4,2,2,2,4,2,4,4,2,2,"",2,2,4,4,2,4,2,4,2,2,4,4,""
"Taylor, Amy",8910,"SM",4,2,2,2,2,4,2,4,4,2,2,4,"",2,2,4,2,2,2,4,2,2,2,4,2,"",4,2,4,2,4,4,2,4,2,2,4,4,"",4,4,2,2,2,2,2,4,2,4,2,4,""
"Anderson, Michelle",2765,"FR",2,2,2,4,2,2,4,2,4,4,2,2,"",4,4,4,4,4,2,2,4,2,4,4,4,"",2,2,4,4,2,4,2,4,4,4,2,2,"",2,4,2,4,4,4,2,2,2,4,2,4,""
"Martinez, Kimberly",6437,"SM",4,4,2,2,2,4,2,4,2,2,4,4,"",2,4,2,4,2,2,4,2,4,2,2,2,"",4,4,2,4,4,2,4,4,2,4,4,4,"",2,2,2,2,4,2,2,4,2,2,2,4,""
"Wilson, Samantha",4819,"FR",2,2,2,4,4,2,2,4,4,4,2,4,"",4,4,4,2,4,2,2,4,2,2,4,2,"",2,2,2,4,4,2,4,2,2,2,4,2,"",4,2,4,4,4,4,2,4,2,4,4,2,""
"Rodriguez, Rachel",7593,"SM",4,4,4,4,2,4,4,2,2,4,2,4,"",2,4,4,4,2,2,4,4,2,2,2,2,"",4,4,4,2,2,2,4,2,4,2,2,2,"",2,4,2,2,4,4,2,4,4,2,2,4,""
"Garcia, Brittany",3216,"FR",2,2,2,4,2,2,4,2,4,4,4,2,"",2,2,2,4,4,4,2,4,2,2,2,2,"",2,2,2,2,4,4,2,2,4,2,2,4,"",4,4,2,4,4,2,2,4,4,4,4,2,""
"Davis, Christina",6874,"SM",4,2,4,2,2,4,4,4,2,2,4,2,"",4,2,4,2,4,2,2,4,4,2,4,4,"",4,2,4,4,2,2,4,4,2,4,2,4,"",2,4,2,4,2,4,4,2,2,2,4,4,""
"Jones, Katherine",5138,"FR",2,4,4,4,4,2,4,2,2,4,4,2,"",2,4,2,2,2,4,4,2,4,2,4,2,"",2,4,2,2,4,2,2,4,4,2,4,2,"",4,2,2,4,4,4,2,4,2,4,2,4,""
"Brown, Amber",9762,"SM",4,4,4,2,4,4,2,2,4,2,2,2,"",2,2,4,4,4,2,2,4,2,4,2,4,"",4,2,4,4,4,2,4,4,2,4,4,4,"",2,4,4,2,2,2,4,2,4,2,2,4,""
"Miller, Laura",1529,"FR",2,2,4,4,2,2,4,2,4,4,4,2,"",4,4,4,4,2,4,4,2,4,2,2,2,"",2,4,2,2,2,4,2,4,2,4,4,2,"",4,2,4,4,4,4,4,2,4,2,4,2,""
"Williams, Danielle",6185,"SM",4,4,2,4,4,4,2,2,4,2,2,4,"",2,4,4,2,4,2,4,2,4,2,2,4,"",4,2,4,4,4,2,4,4,2,2,4,4,"",2,4,2,4,2,2,2,4,2,4,2,4,""
"Perez, Rebecca",3847,"FR",2,4,2,4,2,2,4,2,4,2,4,4,"",4,2,4,2,2,2,2,4,2,4,2,2,"",2,2,2,4,4,4,2,4,4,2,2,4,"",4,2,4,2,2,2,2,2,4,2,2,4,""
"Robinson, Lauren",7491,"SM",4,4,4,2,4,4,4,4,2,4,2,2,"",2,4,4,2,4,2,2,4,2,4,2,4,"",4,4,2,2,2,4,4,2,4,4,2,4,"",2,4,2,2,4,4,4,2,2,4,4,4,""
"Young, Kelly",2318,"FR",2,2,4,4,2,2,2,2,4,2,4,2,"",4,2,2,4,2,2,2,4,4,2,4,2,"",2,2,4,4,4,2,4,2,2,4,4,2,"",4,4,2,4,2,4,2,2,4,2,2,2,""
"Allen, Jamie",5963,"JR",4,4,2,2,4,4,2,2,2,4,2,4,"",2,4,2,2,2,2,4,2,2,4,4,2,"",4,4,2,2,2,2,4,2,4,4,2,2,"",2,2,4,2,2,2,2,4,2,4,2,4,""
"Sanchez, Mary",4625,"FR",2,2,2,4,4,2,4,2,2,4,4,2,"",2,2,4,4,2,4,4,2,2,4,2,2,"",2,4,4,4,4,2,2,4,2,2,4,4,"",4,2,2,2,4,2,4,2,4,4,4,4,""
"Wright, Crystal",8270,"SM",4,2,4,4,2,4,4,2,4,2,4,2,"",4,4,4,2,4,2,2,2,4,2,2,4,"",4,2,4,4,4,2,4,2,4,4,2,2,"",2,4,4,4,2,4,4,2,2,4,2,4,""
"King, Shannon",1736,"FR",2,2,2,2,2,2,2,4,2,4,2,2,"",2,4,4,2,2,4,2,2,4,4,2,4,"",2,2,2,2,2,4,2,4,2,4,2,4,"",4,4,2,4,2,2,2,4,2,2,4,2,""
"Scott, Erin",5418,"SM",4,4,4,2,2,4,2,4,4,2,4,4,"",4,2,4,4,4,2,4,2,4,2,4,2,"",4,4,4,4,4,2,2,4,4,2,4,4,"",2,2,4,2,4,4,4,2,2,4,4,2,""
"Green, Victoria",9081,"FR",2,2,4,4,4,2,4,2,2,2,4,4,"",2,4,2,2,4,2,2,4,4,4,2,4,"",2,4,2,2,4,2,4,2,2,4,2,2,"",4,4,4,4,2,2,2,4,4,2,2,4,""
"Baker, Lindsay",3759,"SM",4,4,2,4,2,4,4,2,4,4,2,4,"",4,2,4,4,2,4,4,2,2,2,4,4,"",4,2,4,4,2,2,2,4,4,2,4,2,"",2,4,2,2,4,4,4,2,2,2,4,4,""
"Adams, Courtney",7392,"FR",2,2,2,2,4,2,2,4,2,2,4,2,"",2,4,2,4,4,2,4,4,2,2,2,4,"",2,4,2,4,2,2,4,4,2,4,2,2,"",4,2,4,2,2,2,2,4,2,4,4,4,""
"Nelson, Christine",2054,"SM",4,4,4,4,2,4,4,2,4,4,2,4,"",4,4,4,4,2,4,2,2,2,4,4,2,"",4,2,4,2,4,4,4,2,4,2,2,4,"",2,2,4,4,2,4,2,4,4,4,2,4,""
"Hill, Lisa",6716,"FR",2,2,4,2,4,2,2,4,2,4,4,2,"",2,2,4,2,4,2,2,4,2,2,2,4,"",2,4,2,4,2,4,4,2,4,2,4,2,"",4,4,2,2,4,4,2,2,2,4,2,2,""
"Ramirez, April",4388,"SM",4,4,2,4,2,4,4,2,2,2,4,2,"",4,4,2,4,2,4,2,4,4,2,2,4,"",4,4,2,2,4,2,2,4,2,4,2,2,"",2,2,4,4,2,2,4,4,2,2,4,2,""
"Campbell, Maria",8041,"FR",2,4,4,4,4,2,2,4,4,4,2,2,"",2,2,4,2,2,4,2,2,2,4,2,2,"",2,4,4,4,2,4,4,4,2,2,4,2,"",4,4,2,4,4,2,2,4,2,2,2,4,""
"Mitchell, Brandy",1473,"SM",4,2,4,2,4,4,4,2,2,4,4,2,"",4,4,2,4,4,2,4,4,2,4,4,4,"",4,2,4,2,4,4,2,2,2,4,2,4,"",2,4,4,2,4,4,4,2,2,2,4,2,""
"Roberts, Tara",5126,"FR",2,2,2,4,2,2,2,4,2,2,2,4,"",2,4,2,4,2,4,4,2,4,2,4,2,"",2,2,4,2,2,4,2,2,4,4,4,2,"",4,2,2,4,4,2,2,4,2,2,4,4,""
"Carter, Whitney",8789,"SM",4,4,4,2,4,4,2,4,2,4,2,2,"",4,4,4,2,4,2,4,2,4,2,4,2,"",4,4,2,4,2,2,4,2,4,2,2,4,"",2,4,4,2,2,2,2,4,4,2,4,2,""
"Phillips, Andrea",3451,"FR",2,4,2,4,2,2,4,4,2,2,4,4,"",2,4,2,4,2,4,2,2,2,4,2,4,"",2,2,4,2,4,4,2,4,4,2,2,2,"",4,2,2,4,2,4,4,2,4,4,2,2,""
"Evans, Sandra",7094,"SM",4,2,4,2,2,4,2,4,2,2,2,4,"",4,2,4,2,4,2,4,2,4,2,4,2,"",4,4,2,4,2,2,2,4,4,2,4,2,"",2,4,4,2,4,2,2,4,2,2,4,4,""
"Turner, Anna",1827,"FR",2,4,2,2,2,2,4,4,2,2,2,4,"",2,2,2,4,2,2,4,4,2,4,2,2,"",2,4,2,2,4,2,4,2,2,4,4,4,"",4,2,4,4,2,2,4,2,4,4,2,2,""
"Torres, Sara",6480,"SM",4,2,4,4,4,4,4,2,2,4,2,2,"",4,4,4,2,4,4,2,2,4,2,4,4,"",4,2,4,4,2,4,2,4,2,2,4,2,"",2,4,2,4,4,2,4,4,2,2,4,2,""
"Parker, Katie",4152,"FR",2,2,2,4,2,2,4,2,4,2,4,4,"",2,2,2,4,2,2,2,4,4,2,2,2,"",2,2,2,2,4,4,4,2,4,4,4,2,"",4,4,4,2,2,4,2,2,2,4,2,2,""
"Collins, Lindsey",7815,"SM",4,4,4,2,4,4,4,4,2,4,4,2,"",4,4,2,2,4,4,2,4,2,2,4,2,"",4,4,4,4,2,4,4,2,2,4,2,4,"",2,2,4,4,4,2,2,2,4,2,2,4,""
"Edwards, Erica",2547,"FR",2,2,4,2,2,2,2,2,4,4,2,2,"",2,4,4,4,2,2,2,4,2,2,4,4,"",2,4,2,2,2,2,4,2,4,4,2,4,"",4,4,4,2,4,4,2,2,4,4,4,2,""
"Stewart, Julie",6200,"SM",4,4,2,4,4,4,2,4,2,2,4,2,"",4,2,4,2,4,2,2,2,4,4,2,2,"",4,2,4,4,4,2,2,4,4,2,4,2,"",2,2,2,4,2,2,2,4,2,4,2,4,""
"Flores, Monica",3872,"FR",2,4,2,4,2,2,4,2,2,4,2,2,"",2,4,2,4,2,4,2,4,4,2,4,2,"",2,4,2,4,2,2,4,2,2,2,4,2,"",4,2,2,2,4,4,4,2,4,2,4,2,""
"Morris, Tracy",7525,"SM",4,2,4,2,4,4,2,4,2,4,4,4,"",4,2,4,2,4,2,2,4,2,2,2,4,"",4,2,4,2,4,2,4,2,4,4,2,4,"",2,4,4,4,2,4,4,4,2,2,2,2,""
"Nguyen, Casey",2258,"FR",2,4,2,2,2,2,2,4,4,2,2,4,"",2,4,2,4,2,2,4,2,2,4,2,2,"",2,2,4,2,4,2,2,4,2,2,4,4,"",4,2,2,2,4,4,4,2,2,4,2,2,""
"Murphy, Dawn",5911,"SM",4,2,4,4,4,4,2,2,2,4,4,4,"",4,2,4,2,4,2,2,4,4,4,2,2,"",4,4,2,4,2,4,4,2,4,2,4,2,"",2,4,4,4,2,4,2,4,2,4,4,4,""
"Rivera, Kristen",4583,"FR",2,2,4,2,2,2,4,4,2,4,4,2,"",2,4,2,4,2,4,4,2,2,4,2,4,"",2,4,4,2,4,4,4,2,2,4,2,4,"",4,2,4,2,2,2,4,4,2,2,4,2,""
"Cook, Jacqueline",8236,"SM",4,4,2,4,4,4,2,2,4,2,4,2,"",4,4,2,2,4,2,4,4,2,2,2,2,"",4,2,4,4,2,2,2,4,4,2,4,2,"",2,4,2,4,4,4,4,2,4,2,2,4,""
"Rogers, Kristina",1668,"FR",2,2,2,4,2,2,2,4,2,2,2,2,"",2,4,4,2,4,4,2,2,2,4,4,2,"",2,2,4,2,4,4,4,2,2,4,2,4,"",4,4,2,2,2,2,4,2,4,2,4,2,""
"Morgan, Morgan",5321,"SM",4,4,4,2,4,4,4,2,2,4,2,4,"",4,2,4,4,2,2,4,2,2,4,2,4,"",4,4,2,4,4,2,2,4,4,4,2,2,"",2,2,4,4,2,4,2,2,4,4,4,2,""
"Peterson, Cynthia",8984,"FR",2,4,2,4,2,2,2,2,4,4,2,2,"",2,4,2,4,2,2,2,4,4,2,2,2,"",2,4,2,2,4,4,4,2,2,2,4,2,"",4,4,2,4,4,2,4,4,2,2,2,4,""
"Cooper, Diana",3646,"SM",4,2,4,2,4,4,2,4,2,4,4,2,"",4,4,4,2,4,2,4,2,2,2,4,4,"",4,2,4,4,2,2,2,4,4,2,4,2,"",2,4,4,4,2,2,4,4,2,2,2,4,""
"Reed, Jenna",7299,"FR",2,2,2,2,2,2,4,2,4,2,2,2,"",2,4,2,2,2,2,4,4,2,2,4,2,"",2,2,4,4,2,2,4,4,2,4,2,4,"",4,2,4,2,2,2,2,4,2,2,2,4,""
"Bailey, Allison",1971,"SM",4,4,4,4,4,4,2,2,4,4,2,4,"",4,2,4,4,4,2,4,2,2,4,2,2,"",4,4,4,2,4,2,2,4,4,4,2,2,"",2,4,2,4,4,2,4,2,4,2,4,2,""
"Bell, Tiffany",5634,"FR",2,4,2,4,2,2,2,4,2,2,4,4,"",2,2,4,2,4,4,2,4,2,4,2,4,"",2,2,2,4,4,4,4,2,2,4,4,2,"",4,2,4,2,2,4,2,2,4,2,4,4,""
"Gomez, Brooke",9297,"SM",4,2,4,2,4,4,2,4,2,4,4,2,"",4,4,2,4,2,2,4,4,2,2,4,2,"",4,4,2,4,2,4,4,2,2,4,2,4,"",2,4,4,4,4,4,4,2,2,4,4,2,""
"Kelly, Cassandra",3959,"FR",2,4,2,2,2,2,4,2,4,2,2,2,"",2,4,4,2,2,4,2,2,4,2,2,4,"",2,4,4,2,4,2,2,4,2,2,4,4,"",4,2,4,4,2,4,2,2,2,4,4,2,""
"Howard, Holly",7612,"SM",4,2,4,4,4,4,2,2,4,2,4,2,"",4,2,4,2,4,2,4,4,2,4,2,4,"",4,2,2,4,2,2,2,4,4,4,2,2,"",2,4,2,2,4,2,2,4,2,4,2,2,""
"Ward, Chelsea",2345,"FR",2,4,2,4,2,2,4,2,2,4,2,2,"",2,4,2,4,2,4,2,2,2,4,2,4,"",2,2,4,2,4,4,2,2,2,4,2,4,"",4,4,4,2,4,2,4,2,2,4,4,4,""
"Cox, Wendy",5998,"SM",4,2,4,2,4,4,2,4,4,2,2,4,"",4,2,4,2,4,2,2,4,4,2,4,2,"",4,4,2,4,4,2,4,4,4,2,2,2,"",2,2,2,4,2,2,4,2,2,2,4,2,""
"Diaz, Lori",4670,"FR",2,2,2,4,2,2,4,2,4,4,2,4,"",2,2,4,2,4,2,2,4,2,4,2,2,"",2,4,2,4,2,2,2,4,2,4,2,2,"",4,4,4,2,4,4,2,4,2,2,2,4,""
"Richardson, Gina",8323,"SM",4,4,4,2,4,4,4,4,2,4,2,2,"",4,4,2,4,2,2,4,2,2,2,4,4,"",4,2,4,2,4,2,4,4,2,2,4,4,"",2,2,2,4,2,2,2,2,4,2,2,2,""
"Wood, Heidi",1755,"FR",2,4,2,4,2,2,4,2,4,2,2,4,"",2,4,2,4,2,4,2,4,2,4,2,4,"",2,2,4,2,4,4,4,2,2,4,2,2,"",4,4,4,2,4,4,2,2,4,2,2,4,""
"Watson, Breanna",5408,"SM",4,2,4,2,4,4,2,4,2,2,2,4,"",4,2,4,2,4,2,4,2,2,2,4,2,"",4,4,2,4,4,2,2,4,4,2,2,4,"",2,2,2,4,2,4,4,4,2,4,2,4,""
"Brooks, Stacey",9071,"FR",2,2,2,4,2,2,2,4,4,2,2,4,"",2,2,4,2,4,2,4,2,4,4,2,4,"",2,4,2,4,2,4,2,2,4,2,4,4,"",4,4,4,2,4,4,2,4,2,4,2,2,""
"Bennett, Valerie",3733,"SM",4,4,4,2,4,4,2,2,4,2,2,2,"",4,4,2,4,2,4,2,4,4,2,2,4,"",4,2,4,2,4,2,4,4,2,4,4,2,"",2,2,2,4,2,4,2,4,2,2,2,4,""
"Gray, Misty",7386,"FR",2,4,2,4,2,2,2,4,2,4,4,4,"",2,4,2,4,2,2,4,2,2,4,4,2,"",2,2,4,2,4,4,2,2,4,4,2,4,"",4,4,4,2,4,2,2,2,4,4,2,2,""
"James, Krystal",2049,"SM",4,2,4,2,4,4,2,4,4,2,4,2,"",4,2,4,2,4,4,2,4,2,4,2,2,"",4,4,2,4,4,2,2,2,4,2,4,4,"",2,2,2,4,2,2,4,2,4,2,2,4,""
"Reyes, Mindy",5712,"FR",2,2,2,4,2,2,4,2,2,4,2,2,"",2,2,4,2,4,4,2,2,4,4,2,4,"",2,4,2,4,2,2,2,4,2,4,4,2,"",4,4,4,2,4,4,2,2,2,4,2,2,""
"Cruz, Leslie",9375,"SM",4,4,4,2,4,4,2,2,4,2,4,2,"",4,4,2,4,2,2,4,2,2,2,4,2,"",4,2,4,2,4,4,4,2,2,4,2,2,"",2,2,2,4,2,2,4,2,4,2,4,2,""
"Hughes, Erika",4037,"FR",2,4,2,4,2,2,4,4,2,2,4,2,"",2,4,2,4,2,2,2,4,2,4,2,4,"",2,2,4,2,4,2,2,4,4,2,4,2,"",4,4,4,2,4,2,2,4,4,2,4,4,""
"Price, Kathy",7690,"SM",4,2,4,2,4,4,2,2,4,4,2,4,"",4,2,4,2,4,4,2,2,4,2,4,2,"",4,4,2,4,4,2,2,2,4,4,2,4,"",2,2,2,4,2,4,4,2,2,2,4,2,""
"Myers, Catherine",2353,"FR",2,2,2,4,2,2,4,4,2,4,2,4,"",2,2,4,2,4,4,4,2,4,2,2,2,"",2,4,2,4,2,2,4,4,2,2,4,2,"",4,4,4,2,4,4,2,4,2,4,4,2,""
"Long, Erin",6016,"SM",4,4,4,2,4,4,2,2,4,2,4,4,"",4,4,2,4,2,2,4,2,2,4,2,2,"",4,2,4,2,4,2,2,4,4,2,4,2,"",2,2,2,4,2,2,4,2,2,4,2,4,""
"Foster, Theresa",4688,"FR",2,4,2,4,2,2,4,2,4,2,2,4,"",2,4,2,4,2,4,2,2,2,4,2,4,"",2,2,4,2,4,4,4,2,4,2,4,4,"",4,4,4,2,4,4,4,2,4,2,2,4,""
"Sanders, Nancy",8341,"SM",4,2,4,2,4,4,2,4,2,2,4,2,"",4,2,4,2,4,2,4,2,2,2,4,4,"",4,4,2,4,4,4,4,2,2,4,2,2,"",2,2,2,4,2,2,2,4,4,2,4,4,""
"Ross, Brittney",1773,"FR",2,2,2,4,2,2,2,4,4,2,2,4,"",2,2,4,2,4,4,2,2,4,2,2,4,"",2,4,2,4,2,4,4,2,2,2,4,2,"",4,4,4,2,4,4,4,2,2,4,4,4,""
"Morales, Brenda",5426,"JR",4,4,4,2,4,4,2,4,2,4,2,4,"",4,4,2,4,2,2,4,2,4,4,2,4,"",4,2,4,2,4,4,4,2,4,2,2,4,"",2,2,2,4,2,4,4,2,2,4,2,2,""
"Powell, Christina",9089,"FR",2,4,2,4,2,2,2,4,4,2,4,2,"",2,4,2,4,2,2,4,4,2,2,2,4,"",2,2,4,2,4,2,2,4,2,2,4,2,"",4,4,4,2,4,2,2,4,2,4,2,4,""
"Sullivan, Kathryn",3751,"SM",4,2,4,2,4,4,2,2,2,4,2,4,"",4,2,4,2,4,4,2,2,4,4,2,4,"",4,4,2,4,4,2,4,4,2,4,2,2,"",2,2,2,4,2,4,2,2,4,2,4,2,""
"Russell, Tracey",7404,"FR",2,2,2,4,2,2,4,2,4,2,4,2,"",2,2,4,2,4,2,4,2,4,2,2,4,"",2,4,2,4,2,2,4,2,4,2,2,2,"",4,4,4,2,4,2,4,4,2,4,2,4,""
"Ortiz, Denise",2067,"SM",4,4,4,2,4,4,4,2,4,2,2,4,"",4,4,2,4,2,4,2,2,4,4,2,2,"",4,2,4,2,4,4,2,4,2,4,4,2,"",2,2,2,4,2,4,2,4,2,2,4,2,""
"Jenkins, Susan",5730,"FR",2,4,2,4,2,2,2,4,2,4,4,2,"",2,4,2,4,2,4,2,4,2,4,4,2,"",2,2,4,2,4,2,2,2,4,2,2,4,"",4,4,4,2,4,4,4,2,2,2,4,4,""
"Gutierrez, April",9393,"SM",4,2,4,2,4,4,2,4,2,4,2,2,"",4,2,4,2,4,2,4,2,4,2,2,4,"",4,4,2,4,4,4,4,2,4,2,4,4,"",2,2,2,4,2,4,2,4,2,4,2,2,""
"Perry, Debra",4055,"FR",2,2,2,4,2,2,4,2,2,2,4,2,"",2,2,4,2,4,2,4,2,4,2,4,4,"",2,4,2,4,2,2,4,2,2,4,4,2,"",4,4,4,2,4,2,4,4,4,2,4,4,""
"Butler, Pamela",7708,"SM",4,4,4,2,4,4,4,4,2,2,4,4,"",4,4,2,4,2,4,2,4,2,2,2,4,"",4,2,4,2,4,2,2,4,4,2,2,2,"",2,2,2,4,2,2,2,2,2,4,2,4,""
"Barnes, Ana",2371,"FR",2,4,2,4,2,2,2,4,2,4,2,2,"",2,4,2,4,2,4,2,4,2,2,2,4,"",2,2,4,2,4,4,2,4,2,4,2,2,"",4,4,4,2,4,2,4,4,2,2,4,2,""
"Fisher, Jessica",6034,"SM",4,2,4,2,4,4,2,2,2,2,4,4,"",4,2,4,2,4,2,2,4,2,4,2,4,"",4,4,2,4,4,2,2,4,2,2,4,4,"",2,2,2,4,2,2,4,4,2,2,2,4,""
"Henderson, Karen",4696,"FR",2,2,2,4,2,2,4,2,2,4,2,4,"",2,2,4,2,4,4,2,2,2,4,2,2,"",2,4,2,4,2,4,4,2,2,4,4,2,"",4,4,4,2,4,4,2,2,4,4,2,4,""
"Coleman, Lisa",8349,"SM",4,4,4,2,4,4,4,4,2,4,2,2,"",4,4,2,4,2,2,2,4,4,2,4,4,"",4,2,4,2,4,4,2,2,4,2,2,2,"",2,2,2,4,2,2,2,4,2,4,2,4,""
"Simmons, Ashley",1781,"FR",2,4,2,4,2,2,2,4,2,4,4,2,"",2,4,2,4,2,4,2,4,2,4,2,2,"",2,2,4,2,4,2,4,4,2,2,4,2,"",4,4,4,2,4,2,2,2,4,2,2,2,""
"Patterson, Sarah",5434,"SM",4,2,4,2,4,4,2,2,4,2,2,4,"",4,2,4,2,4,4,2,2,4,4,2,2,"",4,4,2,4,4,2,4,2,2,4,2,2,"",2,2,2,4,2,2,2,4,2,4,4,2,""
"Jordan, Jennifer",9097,"FR",2,2,2,4,2,2,4,2,2,4,2,4,"",2,2,4,2,4,4,2,2,2,4,2,4,"",2,4,2,4,2,2,2,4,4,2,4,2,"",4,4,4,2,4,4,4,2,4,2,2,2,""
"Reynolds, Amanda",3759,"SM",4,4,4,2,4,4,4,2,4,2,4,4,"",4,4,2,4,2,2,4,2,2,4,2,4,"",4,2,4,2,4,4,2,2,4,4,2,2,"",2,2,2,4,2,2,4,2,4,2,4,2,""
"Hamilton, Emily",7412,"FR",2,4,2,4,2,2,2,4,2,2,4,2,"",2,4,2,4,2,4,4,2,2,4,2,4,"",2,2,4,2,4,2,4,4,2,2,2,2,"",4,4,4,2,4,2,4,2,4,2,2,2,""
"Graham, Melissa",2075,"SM",4,2,4,2,4,4,2,2,4,4,2,2,"",4,2,4,2,4,4,2,4,2,2,2,4,"",4,4,2,4,4,2,2,4,2,4,4,2,"",2,2,2,4,2,4,2,4,2,4,2,4,""
"Kim, Megan",5738,"FR",2,2,2,4,2,2,4,2,4,2,4,2,"",2,2,4,2,4,2,2,4,2,2,4,2,"",2,4,2,4,2,2,2,4,2,4,4,2,"",4,4,4,2,4,4,2,2,4,2,2,2,""
"Wallace, Stephanie",9401,"JR",4,4,4,2,4,4,2,2,4,4,2,4,"",4,4,2,4,2,4,2,4,2,2,4,4,"",4,2,4,2,4,4,2,4,2,2,2,4,"",2,2,2,4,2,2,4,4,2,4,2,4,""
"Woods, Elizabeth",4063,"FR",2,4,2,4,2,2,4,2,2,2,4,2,"",2,4,2,4,2,4,2,2,4,2,4,2,"",2,2,4,2,4,2,4,2,2,2,4,2,"",4,4,4,2,4,2,4,2,2,2,4,4,""
"Cole, Nicole",7716,"SM",4,2,4,2,4,4,2,4,2,2,4,2,"",4,2,4,2,4,2,2,4,4,4,2,4,"",4,4,2,4,4,4,2,2,4,4,2,4,"",2,2,2,4,2,4,2,4,2,2,2,4,""
